Country,Indicator,Model,RMSE,Rank
Czech Republic,GDP per Capita (USD),XGBoost,6797.773582938243,1
Czech Republic,GDP (USD),XGBoost,76403167346.0659,1
Czech Republic,Inflation (CPI),XGBoost,2.5396166364207904,1
Czech Republic,Unemployment Rate (%),XGBoost,0.29768180287440915,1
Czech Republic,GDP growth (annual %),XGBoost,2.188061330715045,1
Czech Republic,Imports of goods and services (% of GDP),XGBoost,1.9128600829907028,1
Czech Republic,Exports of goods and services (% of GDP),XGBoost,1.918731573012535,1
Hungary,GDP per Capita (USD),XGBoost,2500.002158551035,1
Hungary,GDP (USD),XGBoost,21587622766.68489,1
Hungary,Inflation (CPI),XGBoost,2.234514784325797,1
Hungary,Unemployment Rate (%),XGBoost,2.052609278761588,1
Hungary,GDP growth (annual %),XGBoost,2.621512228701302,1
Hungary,Imports of goods and services (% of GDP),XGBoost,5.813841057780654,1
Hungary,Exports of goods and services (% of GDP),XGBoost,2.7709055754313865,1
Poland,GDP per Capita (USD),XGBoost,5231.430915714247,1
Poland,GDP (USD),XGBoost,182449269352.20755,1
Poland,Inflation (CPI),XGBoost,1.6509915089692266,1
Poland,Unemployment Rate (%),XGBoost,2.8044869921608404,1
Poland,GDP growth (annual %),XGBoost,2.5621275094826723,1
Poland,Imports of goods and services (% of GDP),XGBoost,5.491721869811737,1
Poland,Exports of goods and services (% of GDP),XGBoost,5.556087654416189,1
Slovakia,GDP per Capita (USD),XGBoost,4477.326058174765,1
Slovakia,GDP (USD),XGBoost,23659869499.38995,1
Slovakia,Inflation (CPI),XGBoost,2.206878459544274,1
Slovakia,Unemployment Rate (%),XGBoost,3.3060416909375356,1
Slovakia,GDP growth (annual %),XGBoost,2.4064039787100455,1
Slovakia,Imports of goods and services (% of GDP),XGBoost,6.7807735833599905,1
Slovakia,Exports of goods and services (% of GDP),XGBoost,4.200494181203687,1
Germany,GDP per Capita (USD),XGBoost,6141.5789917793445,1
Germany,GDP (USD),XGBoost,324287148807.0393,1
Germany,Inflation (CPI),XGBoost,0.944216689385817,1
Germany,Unemployment Rate (%),XGBoost,0.745822078750756,1
Germany,GDP growth (annual %),XGBoost,0.8913801350605621,1
Germany,Imports of goods and services (% of GDP),XGBoost,2.2486535554813534,1
Germany,Exports of goods and services (% of GDP),XGBoost,1.353543317435603,1
Austria,GDP per Capita (USD),XGBoost,3781.8643128029075,1
Austria,GDP (USD),XGBoost,52591212449.853836,1
Austria,Inflation (CPI),XGBoost,0.9463583465534243,1
Austria,Unemployment Rate (%),XGBoost,0.3967369036539288,1
Austria,GDP growth (annual %),XGBoost,2.3339093968297737,1
Austria,Imports of goods and services (% of GDP),XGBoost,4.067097999177344,1
Austria,Exports of goods and services (% of GDP),XGBoost,3.068304743592542,1
France,GDP per Capita (USD),XGBoost,2325.7148038070172,1
France,GDP (USD),XGBoost,164152145155.6353,1
France,Inflation (CPI),XGBoost,0.7180011146576657,1
France,Unemployment Rate (%),XGBoost,0.3850847948965559,1
France,GDP growth (annual %),XGBoost,2.962749887725796,1
France,Imports of goods and services (% of GDP),XGBoost,5.505075770106445,1
France,Exports of goods and services (% of GDP),XGBoost,3.097224942071731,1
Italy,GDP per Capita (USD),XGBoost,1817.363261397553,1
Italy,GDP (USD),XGBoost,97883325704.65845,1
Italy,Inflation (CPI),XGBoost,1.4170924894846781,1
Italy,Unemployment Rate (%),XGBoost,0.41662890815152653,1
Italy,GDP growth (annual %),XGBoost,2.5910766889807424,1
Italy,Imports of goods and services (% of GDP),XGBoost,4.980083780811778,1
Italy,Exports of goods and services (% of GDP),XGBoost,3.7540479737239276,1
